id,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
j0n_poMVZnODYOFviLbh0Q,Taim West Village,indian,4.5,1524,222 Waverly Pl,10014,40.736002376347,-74.0019588366439,False,15/10/2020 23:37:46
SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,indian,4.5,1571,307 W 47th St,10036,40.760835,-73.987823,False,15/10/2020 23:37:46
c3eMI4_o4dPDDhPV_ibBYQ,Ess-a-Bagel,indian,4,3637,831 3rd Ave,10022,40.756300559255,-73.9703701025162,False,15/10/2020 23:37:46
xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,indian,4.5,2016,34 W 35th St,10001,40.74964,-73.98582,False,15/10/2020 23:37:46
uc5qQMzs96rzjK27epDCug,Joe's Pizza,indian,4,2556,7 Carmine St,10014,40.73060076,-74.00215997,False,15/10/2020 23:37:46
uoT2_Wrt1noD6kZOID7tUg,Jane,indian,4,3149,100 W Houston St,10012,40.72732,-74.00026,False,15/10/2020 23:37:46
cGx9CYLxw6fqUQU-MFup8A,Milk & Cream Cereal Bar,indian,4.5,994,159 Mott St,10013,40.71958,-73.99654,False,15/10/2020 23:37:46
_DcfYjnGffQI3iP1Be0kdA,Ladurée Madison Ave,indian,4.5,1890,864 Madison Ave,10021,40.7707702252517,-73.9663760711639,False,15/10/2020 23:37:46
PBUIaPtgnhmdHE3KHglK-g,Jean-Georges,indian,4.5,1879,1 Central Park W,10023,40.7691122743293,-73.9814290717583,False,15/10/2020 23:37:46
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,indian,4.5,1603,83 Baxter St,10013,40.7166907225542,-73.9999440120647,False,15/10/2020 23:37:46
JlFbaMbMzsu7FA307mUIqg,JoJu,indian,4.5,1683,83-25 Broadway,11373,40.7407051700423,-73.8793501821476,False,15/10/2020 23:37:46
MNNpsRXe7Wt5m3Jla9Wk0w,The Alcove,indian,5,883,41-11 49th St,11104,40.7459065,-73.915103,False,15/10/2020 23:37:46
FiRB9Ek3Xo9JHwXgBYITYg,La Sirène-Soho,indian,4.5,1604,558 Broome St,10013,40.7243642217227,-74.005708694458,False,15/10/2020 23:37:46
-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,indian,4,2016,413 8th Ave,10001,40.7502059936523,-73.9953231811523,False,15/10/2020 23:37:46
QArou0r7CmLNPWYRA9ecog,McSorleys Old Ale House,indian,4,1771,15 E 7th St,10003,40.72884,-73.98965,False,15/10/2020 23:37:46
Rc1lxc5lSKJYd162JHNMfQ,Bea,indian,4,2498,403 W 43rd St,10036,40.7591968,-73.9923361,False,15/10/2020 23:37:46
2ggi1luerd3Mf_C82JvCYg,Grimaldi's Pizzeria,indian,3.5,4613,1 Front St,11201,40.702583,-73.9932413,False,15/10/2020 23:37:46
FhXjAc6nKLf414KxYujUHw,Roberta's,indian,4,2906,261 Moore St,11206,40.705043534338,-73.93357123374,False,15/10/2020 23:37:46
TBp9gdS6xEbSQqffVZ7iag,KazuNori  | The Original Hand Roll Bar,indian,4.5,950,15 W 28th St,10001,40.74519,-73.98824,False,15/10/2020 23:37:46
7EaiwMVaNdQibSs0yYkE5Q,Sushi Yasuda,indian,4,2121,204 E 43rd St,10017,40.75113,-73.97347,False,15/10/2020 23:37:46
s3jou_L_LVYGkNHiuhjlew,Boucherie West Village,indian,4.5,1493,99 7th Ave S,10014,40.733063,-74.0028772,False,15/10/2020 23:37:46
oJ_XSPZFpvIt6rvheSQl7A,Bleecker Street Pizza,indian,4,2359,69 7th Ave S,10014,40.7320627016512,-74.0036552270137,False,15/10/2020 23:37:46
TPBTUvbBVUfJeEWWy1o1QQ,Sundaes and Cones,indian,4.5,1494,95 E 10th St,10003,40.730934,-73.989318,False,15/10/2020 23:37:46
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,indian,4.5,1085,342 E 6th St,10003,40.7264988089246,-73.9866526052356,False,15/10/2020 23:37:46
VtJd1l64kqUUyWacwK0J2Q,Veniero's,indian,4,2070,342 E 11th St,10003,40.729431,-73.984541,False,15/10/2020 23:37:46
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,indian,4,2645,12 W 32nd St,10001,40.74747,-73.98648,False,15/10/2020 23:37:46
B55Ocx5RBWxo6AGSucYSIA,ilili,indian,4,2401,236 5th Ave,10001,40.74435,-73.98778,False,15/10/2020 23:37:46
H_KyiRhwho8rdlw_R93_0Q,Marea,indian,4,2051,240 Central Park S,10019,40.7674213694566,-73.9810554368179,False,15/10/2020 23:37:46
XipQLDbyTl5tsLlyzAWzug,Jajaja Plantas Mexicana,indian,4.5,948,162 E Broadway,10002,40.7141530317142,-73.9904247969389,False,15/10/2020 23:37:46
7iY35991NhQ1AShJZCNZgA,Sakagura,indian,4,1777,211 E 43rd St,10017,40.7516467024541,-73.9729489318165,False,15/10/2020 23:37:46
LF1QAuvpfX7KGQlg2zMg6Q,John's of Bleecker Street,indian,4,2051,278 Bleecker St,10014,40.73158,-74.00332,False,15/10/2020 23:37:46
JEQ00qBAepe0oSiUBdfIew,Taverna Kyclades,indian,4,2324,3307 Ditmars Blvd,11105,40.7753227,-73.909217,False,15/10/2020 23:37:46
uEjX8iic3W16rU3bRkCjyg,"Sal, Kris, & Charlie's Deli",indian,4.5,1103,33-12 23rd Ave,11105,40.773326878163,-73.9113807678223,False,15/10/2020 23:37:46
O0xFECgTDf1rbZzW9qUULQ,Peter Pan Donut & Pastry Shop,indian,4.5,1343,727 Manhattan Ave,11222,40.726086,-73.952308,False,15/10/2020 23:37:46
FZpm4_fbd6P984foOUejWg,Jongro BBQ,indian,4,1965,22 W 32nd St,10001,40.747514,-73.986884,False,15/10/2020 23:37:46
c3D2ckzacnPtdGIM8tb-_w,B Side Pizza & Wine Bar,indian,4.5,1142,370 W 51st St,10019,40.76394,-73.9883399,False,15/10/2020 23:37:46
96svxj2NIOrba2fBMZAqOQ,Bogota Latin Bistro,indian,4,2232,141 5th Ave,11217,40.678165,-73.978976,False,15/10/2020 23:37:46
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,indian,4,1919,88 Madison Ave,10016,40.744509,-73.9856,False,15/10/2020 23:37:46
J4pAppaiXwCkbLOGc4wHww,Raines Law Room,indian,4.5,1451,48 W 17th St,10011,40.73869,-73.99462,False,15/10/2020 23:37:46
pimuUR-TEHIjUla3S3jemQ,Coffee Project New York | East Village,indian,4.5,677,239 E 5th St,10003,40.72699,-73.98922,False,15/10/2020 23:37:46
gHdejB1Mx2P5UjAgZ6BT2w,Cheeky Sandwiches,indian,4.5,1191,35 Orchard St,10002,40.7158,-73.99169,False,15/10/2020 23:37:46
sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,indian,4.5,1486,179 Essex St,10002,40.72191,-73.98666,False,15/10/2020 23:37:46
PYcL2z9gHj6-ZTlViT9Nqw,Minetta Tavern,indian,4,2195,113 Macdougal St,10012,40.7300047976758,-74.0006073834151,False,15/10/2020 23:37:46
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,indian,4,2096,147 W 43rd St,10036,40.75641,-73.98547,False,15/10/2020 23:37:46
C8j0q4Ma_S5hBGuAI-aaww,Di Fara Pizza,indian,4,3519,1424 Ave J,11230,40.625093,-73.961531,False,15/10/2020 23:37:46
zGAQqDu0Ak2khVYs9WdQxw,Sushi Nakazawa,indian,4.5,1398,23 Commerce St,10014,40.7317465228689,-74.0045493828034,False,15/10/2020 23:37:46
IH0vUeLREFC1D_TuNXge5w,American Museum of Natural History,indian,4,2085,200 Central Park W,10024,40.781356,-73.974059,False,15/10/2020 23:37:46
1Ed-tb_0dBGrXfsYyehmvg,Momofuku 207,indian,4,2432,207 2nd Ave,10003,40.731666,-73.985712,False,15/10/2020 23:37:46
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,indian,4,2650,118A Eldridge St,10002,40.71839,-73.9917399,False,15/10/2020 23:37:46
jz_FnuRpCNzfwwHHQ6Nbeg,Schmackary's,indian,4,2008,362 W 45th St,10036,40.760153883881,-73.990944257291,False,15/10/2020 23:37:46
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,indian,4,1672,21 Mott St,10013,40.71441,-73.99902,False,15/10/2020 23:37:46
FoR70YoGSb4_QavCe1WZEw,Beyond Sushi,indian,4.5,918,229 E 14th St,10003,40.7329,-73.98588,False,15/10/2020 23:37:46
z5hRX3iJ5Ty_S38iG_WY3Q,Tanner Smiths,indian,4.5,1747,204 W 55th St,10019,40.76442,-73.98169,False,15/10/2020 23:37:46
W4hobe10Fy54MKqmLaObEg,Cafe Mogador,indian,4,1909,101 St Marks Pl,10009,40.727258767439,-73.9845085144043,False,15/10/2020 23:37:46
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,indian,4,2344,254 West 47th St,10036,40.75998,-73.98671,False,15/10/2020 23:37:46
C-8mGN7lt5rIraO5n-15ug,The Smith,indian,4,2657,956 2nd Ave,10022,40.755165,-73.967868,False,15/10/2020 23:37:46
